,id,Procedure type,Document type,Language code,Display code,Name,parent_id,Mandatory,heading_id
0,1,CAP,SmPC,bg,,КРАТКА ХАРАКТЕРИСТИКА НА ПРОДУКТА,,True,1
1,2,CAP,SmPC,bg,,qТози лекарствен продукт подлежи на допълнително наблюдение. Това ще позволи бързото установяване на нова информация относно безопасността. От медицинските специалисти се изисква да съобщават всяка подозирана нежелана реакция. За начина на съобщаване на нежелани реакции вижте точка 4.8,1.0,False,2
2,3,CAP,SmPC,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,1.0,True,3
3,4,CAP,SmPC,bg,2,КАЧЕСТВЕН И КОЛИЧЕСТВЕН СЪСТАВ,1.0,True,4
4,5,CAP,SmPC,bg,2.1,Общо описание,4.0,False,5
5,6,CAP,SmPC,bg,2.2,Качествен и количествен състав,4.0,False,6
6,7,CAP,SmPC,bg,,Помощно(и) вещество(а) с известно действие,6.0,False,7
7,8,CAP,SmPC,bg,3,ЛЕКАРСТВЕНА ФОРМА,1.0,True,8
8,9,CAP,SmPC,bg,4,КЛИНИЧНИ ДАННИ,1.0,True,9
9,10,CAP,SmPC,bg,4.1,Терапевтични показания ,9.0,True,10
10,11,CAP,SmPC,bg,4.2,Дозировка и начин на приложение,9.0,True,11
11,12,CAP,SmPC,bg,,Дозировка,11.0,True,12
12,13,CAP,SmPC,bg,,Педиатрична популация,12.0,True,13
13,14,CAP,SmPC,bg,,Начин на приложение,11.0,True,14
14,15,CAP,SmPC,bg,,"Предпазни мерки, които трябва да бъдат взети преди работа със или приложение на лекарствения продукт",14.0,False,15
15,16,CAP,SmPC,bg,4.3,Противопоказания,9.0,True,16
16,17,CAP,SmPC,bg,4.4,Специални предупреждения и предпазни мерки при употреба,9.0,True,17
17,18,CAP,SmPC,bg,,Проследимост,17.0,False,18
18,19,CAP,SmPC,bg,,Педиатрична популация,17.0,False,19
19,20,CAP,SmPC,bg,4.5,Взаимодействие с други лекарствени продукти и други форми на взаимодействие,9.0,True,20
20,21,CAP,SmPC,bg,,Педиатрична популация,20.0,False,21
21,22,CAP,SmPC,bg,4.6,"Фертилитет, бременност и кърмене",9.0,True,22
22,23,CAP,SmPC,bg,,Бременност,22.0,False,23
23,24,CAP,SmPC,bg,,Кърмене,22.0,False,24
24,25,CAP,SmPC,bg,,Фертилитет,22.0,False,25
25,26,CAP,SmPC,bg,4.7,Ефекти върху способността за шофиране и работа с машини,9.0,True,26
26,27,CAP,SmPC,bg,4.8,Нежелани лекарствени реакции,9.0,True,27
27,28,CAP,SmPC,bg,,Педиатрична популация,27.0,False,28
28,29,CAP,SmPC,bg,,Съобщаване на подозирани нежелани реакции,27.0,True,29
29,30,CAP,SmPC,bg,4.9,Предозиране,9.0,True,30
30,31,CAP,SmPC,bg,,Педиатрична популация,30.0,False,31
31,32,CAP,SmPC,bg,5,ФАРМАКОЛОГИЧНИ СВОЙСТВА,1.0,True,32
32,33,CAP,SmPC,bg,5.1,Фармакодинамични свойства,32.0,True,33
33,34,CAP,SmPC,bg,,Механизъм на действие,33.0,False,34
34,35,CAP,SmPC,bg,,Фармакодинамични ефекти,33.0,False,35
35,36,CAP,SmPC,bg,,Клинична ефикасност и безопасност,33.0,False,36
36,37,CAP,SmPC,bg,,Педиатрична популация,33.0,False,37
37,38,CAP,SmPC,bg,5.2,Фармакокинетични свойства,32.0,True,38
38,39,CAP,SmPC,bg,,Абсорбция,38.0,False,39
39,40,CAP,SmPC,bg,,Разпределение,38.0,False,40
40,41,CAP,SmPC,bg,,Биотрансформация,38.0,False,41
41,42,CAP,SmPC,bg,,Елиминиране,38.0,False,42
42,43,CAP,SmPC,bg,,Линейност/нелинейност,38.0,False,43
