,id,Procedure type,Document type,Language code,Display code,Name,parent_id,Mandatory
1,1,CAP,SmPC,en,,SUMMARY OF PRODUCT CHARACTERISTICS,,True
2,2,CAP,SmPC,en,,qThis medicinal product is subject to additional monitoring. This will allow quick identification of new safety information. Healthcare professionals are asked to report any suspected adverse reactions. See section 4.8 for how to report adverse reactions.,1.0,False
3,3,CAP,SmPC,en,1,NAME OF THE MEDICINAL PRODUCT,1.0,True
4,4,CAP,SmPC,en,2,QUALITATIVE AND QUANTITATIVE COMPOSITION,1.0,True
5,5,CAP,SmPC,en,2.1,General description,4.0,False
6,6,CAP,SmPC,en,2.2,Qualitative and quantitative composition,4.0,False
7,7,CAP,SmPC,en,,Excipient(s) with known effect,6.0,False
8,8,CAP,SmPC,en,3,PHARMACEUTICAL FORM,1.0,True
9,9,CAP,SmPC,en,4,CLINICAL PARTICULARS,1.0,True
10,10,CAP,SmPC,en,4.1,Therapeutic indications,9.0,True
11,11,CAP,SmPC,en,4.2,Posology and method of administration,9.0,True
12,12,CAP,SmPC,en,,Posology,11.0,True
13,13,CAP,SmPC,en,,Paediatric population,12.0,True
14,14,CAP,SmPC,en,,Method of administration ,11.0,True
15,15,CAP,SmPC,en,,Precautions to be taken before handling or administering the medicinal product,14.0,False
16,16,CAP,SmPC,en,4.3,Contraindications,9.0,True
17,17,CAP,SmPC,en,4.4,Special warnings and precautions for use,9.0,True
18,18,CAP,SmPC,en,,Traceability,17.0,False
19,19,CAP,SmPC,en,,Paediatric population,17.0,False
20,20,CAP,SmPC,en,4.5,Interaction with other medicinal products and other forms of interaction,9.0,True
21,21,CAP,SmPC,en,,Paediatric population,20.0,False
22,22,CAP,SmPC,en,4.6,"Fertility, pregnancy and lactation",9.0,True
23,23,CAP,SmPC,en,,Pregnancy,22.0,False
24,24,CAP,SmPC,en,,Breast-feeding,22.0,False
25,25,CAP,SmPC,en,,Fertility,22.0,False
26,26,CAP,SmPC,en,4.7,Effects on ability to drive and use machines,9.0,True
27,27,CAP,SmPC,en,4.8,Undesirable effects,9.0,True
28,28,CAP,SmPC,en,,Paediatric population,27.0,False
29,29,CAP,SmPC,en,,Reporting of suspected adverse reactions,27.0,True
30,30,CAP,SmPC,en,4.9,Overdose,9.0,True
31,31,CAP,SmPC,en,,Paediatric population,30.0,False
32,32,CAP,SmPC,en,5,PHARMACOLOGICAL PROPERTIES,1.0,True
33,33,CAP,SmPC,en,5.1,Pharmacodynamic properties,32.0,True
34,34,CAP,SmPC,en,,Mechanism of action,33.0,False
35,35,CAP,SmPC,en,,Pharmacodynamic effects,33.0,False
36,36,CAP,SmPC,en,,Clinical efficacy and safety,33.0,False
