,id,Procedure type,Document type,Language code,Display code,Name,parent_id,Mandatory
1,1,CAP,SmPC,bg,,КРАТКА ХАРАКТЕРИСТИКА НА ПРОДУКТА,,True
2,2,CAP,SmPC,bg,,qТози лекарствен продукт подлежи на допълнително наблюдение. Това ще позволи бързото установяване на нова информация относно безопасността. От медицинските специалисти се изисква да съобщават всяка подозирана нежелана реакция. За начина на съобщаване на нежелани реакции вижте точка 4.8,1.0,False
3,3,CAP,SmPC,bg,1,ИМЕ НА ЛЕКАРСТВЕНИЯ ПРОДУКТ,1.0,True
4,4,CAP,SmPC,bg,2,КАЧЕСТВЕН И КОЛИЧЕСТВЕН СЪСТАВ,1.0,True
5,5,CAP,SmPC,bg,2.1,Общо описание,4.0,False
6,6,CAP,SmPC,bg,2.2,Качествен и количествен състав,4.0,False
7,7,CAP,SmPC,bg,,Помощно(и) вещество(а) с известно действие,6.0,False
8,8,CAP,SmPC,bg,3,ЛЕКАРСТВЕНА ФОРМА,1.0,True
9,9,CAP,SmPC,bg,4,КЛИНИЧНИ ДАННИ,1.0,True
10,10,CAP,SmPC,bg,4.1,Терапевтични показания ,9.0,True
11,11,CAP,SmPC,bg,4.2,Дозировка и начин на приложение,9.0,True
12,12,CAP,SmPC,bg,,Дозировка,11.0,True
13,13,CAP,SmPC,bg,,Педиатрична популация,12.0,True
14,14,CAP,SmPC,bg,,Начин на приложение,11.0,True
15,15,CAP,SmPC,bg,,"Предпазни мерки, които трябва да бъдат взети преди работа със или приложение на лекарствения продукт",14.0,False
16,16,CAP,SmPC,bg,4.3,Противопоказания,9.0,True
17,17,CAP,SmPC,bg,4.4,Специални предупреждения и предпазни мерки при употреба,9.0,True
18,18,CAP,SmPC,bg,,Проследимост,17.0,False
19,19,CAP,SmPC,bg,,Педиатрична популация,17.0,False
20,20,CAP,SmPC,bg,4.5,Взаимодействие с други лекарствени продукти и други форми на взаимодействие,9.0,True
21,21,CAP,SmPC,bg,,Педиатрична популация,20.0,False
22,22,CAP,SmPC,bg,4.6,"Фертилитет, бременност и кърмене",9.0,True
23,23,CAP,SmPC,bg,,Бременност,22.0,False
24,24,CAP,SmPC,bg,,Кърмене,22.0,False
25,25,CAP,SmPC,bg,,Фертилитет,22.0,False
26,26,CAP,SmPC,bg,4.7,Ефекти върху способността за шофиране и работа с машини,9.0,True
27,27,CAP,SmPC,bg,4.8,Нежелани лекарствени реакции,9.0,True
28,28,CAP,SmPC,bg,,Педиатрична популация,27.0,False
29,29,CAP,SmPC,bg,,Съобщаване на подозирани нежелани реакции,27.0,True
30,30,CAP,SmPC,bg,4.9,Предозиране,9.0,True
31,31,CAP,SmPC,bg,,Педиатрична популация,30.0,False
32,32,CAP,SmPC,bg,5,ФАРМАКОЛОГИЧНИ СВОЙСТВА,1.0,True
33,33,CAP,SmPC,bg,5.1,Фармакодинамични свойства,32.0,True
34,34,CAP,SmPC,bg,,Механизъм на действие,33.0,False
35,35,CAP,SmPC,bg,,Фармакодинамични ефекти,33.0,False
36,36,CAP,SmPC,bg,,Клинична ефикасност и безопасност,33.0,False
37,37,CAP,SmPC,bg,,Педиатрична популация,33.0,False
38,38,CAP,SmPC,bg,5.2,Фармакокинетични свойства,32.0,True
39,39,CAP,SmPC,bg,,Абсорбция,38.0,False
40,40,CAP,SmPC,bg,,Разпределение,38.0,False
41,41,CAP,SmPC,bg,,Биотрансформация,38.0,False
42,42,CAP,SmPC,bg,,Елиминиране,38.0,False
43,43,CAP,SmPC,bg,,Линейност/нелинейност,38.0,False
44,44,CAP,SmPC,bg,,Връзка(и) фармакокинетика-фармакодинамика,38.0,False
45,45,CAP,SmPC,bg,5.3,Предклинични данни за безопасност,32.0,True
46,46,CAP,SmPC,bg,,Оценка на риска за околната среда (ERA),45.0,False
47,47,CAP,SmPC,bg,6,ФАРМАЦЕВТИЧНИ ДАННИ,1.0,True
48,48,CAP,SmPC,bg,6.1,Списък на помощните вещества,47.0,True
49,49,CAP,SmPC,bg,6.2,Несъвместимости,47.0,True
50,50,CAP,SmPC,bg,6.3,Срок на годност,47.0,True
51,51,CAP,SmPC,bg,6.4,Специални условия на съхранение,47.0,True
52,52,CAP,SmPC,bg,6.5,"Вид и съдържание на опаковката <и специални приспособления за употреба, приложение или имплантиране>",47.0,True
53,53,CAP,SmPC,bg,6.6,Специални предпазни мерки при изхвърляне <и работа>,47.0,True
54,54,CAP,SmPC,bg,,Употреба при педиатричната популация,53.0,False
55,55,CAP,SmPC,bg,7,ПРИТЕЖАТЕЛ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,1.0,True
56,56,CAP,SmPC,bg,8,НОМЕР(А) НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,1.0,True
57,57,CAP,SmPC,bg,9,ДАТА НА ПЪРВО РАЗРЕШАВАНЕ/ПОДНОВЯВАНЕ НА РАЗРЕШЕНИЕТО ЗА УПОТРЕБА,1.0,True
58,58,CAP,SmPC,bg,10,ДАТА НА АКТУАЛИЗИРАНЕ НА ТЕКСТА,1.0,True
59,59,CAP,SmPC,bg,11,ДОЗИМЕТРИЯ,1.0,False
60,60,CAP,SmPC,bg,12,ИНСТРУКЦИИ ЗА ПРИГОТВЯНЕ НА РАДИОФАРМАЦЕВТИЦИ ,1.0,False
1,1001,CAP,AnnexII,bg,,ПРИЛОЖЕНИЕ II,,True
2,1002,CAP,AnnexII,bg,A.,"<ПРОИЗВОДИТЕЛ(И) НА БИОЛОГИЧНО АКТИВНОТО(ИТЕ) ВЕЩЕСТВО(А) И>ПРОИЗВОДИТЕЛ(И), ОТГОВОРЕН(НИ) ЗА ОСВОБОЖДАВАНЕ НА ПАРТИДИ ",1001.0,True
3,1003,CAP,AnnexII,bg,,Име и адрес на производителя(ите) на биологично активното(ите) вещество(а),1002.0,False
4,1004,CAP,AnnexII,bg,,"Име и адрес на производителя(ите), отговорен(ни) за освобождаване на партидите",1002.0,True
5,1005,CAP,AnnexII,bg,Б.,УСЛОВИЯ ИЛИ ОГРАНИЧЕНИЯ ЗА ДОСТАВКА И УПОТРЕБА,1001.0,True
6,1006,CAP,AnnexII,bg,,Официално освобождаване на партиди,1005.0,False
