StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.265 Min,6.389239 MB,10.381298 MB,42.0%
Split Json,0.0146 Min,0.946708 MB,9.999904 MB,42.0%
0: Heading Extraction,1.7672 Min,2.237749 MB,4.423408 MB,45.1%
0: Document Annotation,0.02 Min,0.042673 MB,0.07409 MB,45.0%
0: Content Extraction,0.002 Min,0.705837 MB,3.947103 MB,45.0%
0: Generate XML,0.0106 Min,2.825251 MB,5.380229 MB,45.0%
0: Submit FHIR Msg,0.051 Min,0.079679 MB,2.00498 MB,45.1%
1: Heading Extraction,0.4111 Min,0.475388 MB,2.920593 MB,45.3%
1: Document Annotation,0.0005 Min,0.016012 MB,0.024492 MB,45.2%
1: Content Extraction,0.002 Min,0.171599 MB,0.487655 MB,45.2%
1: Generate XML,0.0081 Min,0.732815 MB,1.800064 MB,45.2%
1: Submit FHIR Msg,0.0336 Min,0.058831 MB,0.763487 MB,45.2%
2: Heading Extraction,0.5512 Min,0.534585 MB,3.01404 MB,45.0%
2: Document Annotation,0.0004 Min,0.017158 MB,0.027777 MB,45.0%
2: Content Extraction,0.0076 Min,0.277315 MB,0.86292 MB,45.0%
2: Generate XML,0.0053 Min,0.844259 MB,1.796618 MB,45.0%
2: Submit FHIR Msg,0.0271 Min,0.16439 MB,0.1701 MB,45.0%
3: Heading Extraction,3.0391 Min,0.534525 MB,3.121998 MB,45.1%
3: Document Annotation,0.0003 Min,0.014264 MB,0.021302 MB,45.1%
3: Content Extraction,0.0023 Min,0.265589 MB,0.957518 MB,45.1%
3: Generate XML,0.0063 Min,1.433047 MB,2.792682 MB,45.1%
3: Submit FHIR Msg,0.0402 Min,0.053783 MB,1.003721 MB,45.0%
3: Completed,0.0 Min,0.00578 MB,0.006432 MB,45.0%
Final Metrics,6.2655 Min,0.0 MB,10.381298 MB,45.3%
