sectionIndex,Display code,Name,heading_id
0,nan,Name and address of the manufacturer(s) responsible for batch release,4
0,nan,Periodic safety update reports (PSURs),8
0,nan,Risk management plan (RMP),10
sectionIndex,Display code,Name,heading_id
0,nan,Name and address of the manufacturer(s) responsible for batch release,4
0,nan,Periodic safety update reports (PSURs),8
0,nan,Risk management plan (RMP),10
sectionIndex,Display code,Name,heading_id
0,nan,Name and address of the manufacturer(s) responsible for batch release,4
0,nan,Periodic safety update reports (PSURs),8
0,nan,Risk management plan (RMP),10
sectionIndex,Display code,Name,heading_id
0,nan,Name and address of the manufacturer(s) responsible for batch release,4
0,nan,Periodic safety update reports (PSURs),8
0,nan,Risk management plan (RMP),10
