StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.2321 Min,12.306342 MB,44.619325 MB,48.0%
Split Json,0.0281 Min,0.30045 MB,60.047673 MB,48.0%
0: Heading Extraction,3.5288 Min,9.52912 MB,23.531953 MB,48.2%
0: Document Annotation,0.0175 Min,0.156818 MB,0.19117 MB,48.2%
0: Content Extraction,0.0035 Min,0.71381 MB,23.553696 MB,48.2%
0: Generate XML,0.0074 Min,2.877613 MB,4.589278 MB,48.2%
0: Submit FHIR Msg,0.0473 Min,0.200943 MB,1.486745 MB,48.2%
0: Update/Add List Bundle,0.1685 Min,0.111669 MB,0.336868 MB,48.2%
1: Heading Extraction,0.0771 Min,0.226929 MB,2.962573 MB,48.2%
1: Document Annotation,0.0002 Min,0.005818 MB,0.162603 MB,48.2%
1: Content Extraction,0.0004 Min,0.218692 MB,0.401255 MB,48.2%
1: Generate XML,0.0011 Min,0.457046 MB,0.948037 MB,48.2%
1: Submit FHIR Msg,0.0265 Min,0.202264 MB,0.519441 MB,48.1%
1: Update/Add List Bundle,0.2035 Min,0.259535 MB,0.789164 MB,48.2%
2: Heading Extraction,1.8502 Min,1.545047 MB,3.862709 MB,48.2%
2: Document Annotation,0.0184 Min,0.157069 MB,0.191331 MB,48.2%
2: Content Extraction,0.0122 Min,0.532145 MB,2.80613 MB,48.2%
2: Generate XML,0.0061 Min,2.392675 MB,4.552436 MB,48.2%
2: Submit FHIR Msg,0.062 Min,0.058739 MB,1.622386 MB,48.2%
2: Update/Add List Bundle,0.2873 Min,0.291589 MB,0.495401 MB,48.2%
3: Heading Extraction,6.9932 Min,5.082252 MB,10.843632 MB,48.5%
3: Document Annotation,0.0002 Min,0.15483 MB,0.176762 MB,48.5%
3: Content Extraction,0.0079 Min,8.196188 MB,21.467437 MB,48.6%
3: Generate XML,0.0145 Min,7.367044 MB,36.293036 MB,48.6%
3: Submit FHIR Msg,0.1403 Min,0.215375 MB,0.258453 MB,48.3%
3: Update/Add List Bundle,0.2866 Min,0.302843 MB,0.465791 MB,48.3%
3: Completed,0.0 Min,0.150055 MB,0.152455 MB,48.3%
Final Metrics,14.0208 Min,0.0 MB,60.047673 MB,48.6%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.2234 Min,12.396959 MB,44.570818 MB,54.3%
Split Json,0.0197 Min,0.270892 MB,60.108223 MB,54.3%
0: Heading Extraction,2.3475 Min,9.392792 MB,23.54084 MB,54.6%
0: Document Annotation,0.0194 Min,0.011057 MB,0.191277 MB,54.6%
0: Content Extraction,0.0039 Min,0.712265 MB,23.551477 MB,54.6%
0: Generate XML,0.0061 Min,2.872447 MB,4.584066 MB,54.6%
0: Submit FHIR Msg,0.053 Min,0.196254 MB,1.483889 MB,54.6%
0: Update/Add List Bundle,0.1904 Min,0.17949 MB,0.394539 MB,54.6%
1: Heading Extraction,0.0743 Min,0.382298 MB,2.991846 MB,54.6%
1: Document Annotation,0.0003 Min,0.152191 MB,0.159147 MB,54.5%
1: Content Extraction,0.0005 Min,0.220972 MB,0.403282 MB,54.5%
1: Generate XML,0.0012 Min,0.435108 MB,0.927285 MB,54.5%
1: Submit FHIR Msg,0.0353 Min,0.1822 MB,0.498258 MB,54.5%
1: Update/Add List Bundle,0.2183 Min,0.20852 MB,0.823104 MB,54.6%
2: Heading Extraction,1.3825 Min,1.50089 MB,3.858556 MB,53.4%
2: Document Annotation,0.0225 Min,0.009172 MB,0.227061 MB,53.4%
2: Content Extraction,0.0095 Min,0.710179 MB,2.83826 MB,53.4%
2: Generate XML,0.0044 Min,2.388845 MB,4.54828 MB,53.4%
2: Submit FHIR Msg,0.0597 Min,0.198516 MB,1.614066 MB,53.4%
2: Update/Add List Bundle,0.3318 Min,0.164089 MB,0.806869 MB,53.5%
3: Heading Extraction,5.9316 Min,5.081951 MB,10.849479 MB,55.6%
3: Document Annotation,0.0001 Min,0.008901 MB,0.15709 MB,55.6%
3: Content Extraction,0.0045 Min,8.34561 MB,21.47066 MB,55.6%
3: Generate XML,0.0074 Min,7.343617 MB,36.265027 MB,55.6%
3: Submit FHIR Msg,0.2189 Min,0.225332 MB,0.28027 MB,55.7%
3: Update/Add List Bundle,0.3359 Min,0.306488 MB,0.455798 MB,54.9%
3: Completed,0.0 Min,0.003127 MB,0.151431 MB,54.9%
Final Metrics,11.5024 Min,0.0 MB,60.108223 MB,55.7%
