2021-09-19 09:54:07,595 : Flow Logger HTML_O : Starting HTML Conversion To Json | H | NAP |  sv | HTML | Abacavir Accord film-coated tablet SmPC.htm
2021-09-19 09:55:06,096 : Style Dictionary_L : Reading style dictionary in file: rule_dictionary_sv.json | H | NAP |  sv | HTML | Abacavir Accord film-coated tablet SmPC.htm
2021-09-19 09:55:06,245 : Style Dictionary_L : Qrd Section Keys Retrieved For Style Dictionary: PRODUKTRESUMÉ, MÄRKNING, Bipacksedel: Information till användaren | H | NAP |  sv | HTML | Abacavir Accord film-coated tablet SmPC.htm
2021-09-19 09:55:22,682 : Parser_7 : Style Information Stored In File: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/NAP/Abacavir Accord/sv/2021-05-27T10-49-42Z/outputJSON/Abacavir Accord film-coated tablet SmPC.txt | H | NAP |  sv | HTML | Abacavir Accord film-coated tablet SmPC.htm
2021-09-19 09:55:30,289 : Parser_7 : Writing to file: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/NAP/Abacavir Accord/sv/2021-05-27T10-49-42Z/outputJSON/Abacavir Accord film-coated tablet SmPC.json | H | NAP |  sv | HTML | Abacavir Accord film-coated tablet SmPC.htm
2021-09-19 09:55:52,123 : Flow Logger HTML_O : Completed HTML Conversion To Json | H | NAP |  sv | HTML | Abacavir Accord film-coated tablet SmPC.htm
2021-09-19 09:55:52,625 : Flow Logger HTML_O : HTML Conversion To Json,1.8486 Min,3.926415 MB,5.810574 MB,78.7%
 | H | NAP |  sv | HTML | Abacavir Accord film-coated tablet SmPC.htm
2021-09-19 09:56:10,997 : Flow Logger HTML_O : Started Processing NAP Json | H | NAP |  sv | HTML | Abacavir Accord film-coated tablet SmPC.htm
2021-09-19 09:56:19,158 : Flow Logger HTML_O : 



||||||||||||||||||||||||||||||||0 ||||| Abacavir Accord film-coated tablet SmPC.json||||||||||||||||||||||||||||||||



 | H | NAP |  sv | HTML | Abacavir Accord film-coated tablet SmPC.htm
2021-09-19 09:56:55,147 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Starting Heading Extraction | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json
2021-09-19 09:57:24,914 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Started Extracting Heading | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json
2021-09-19 09:57:24,982 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- 'PRODUKTRESUMÉ' | Qrd txt :- 'PRODUKTRESUMÉ' | Matched :- 'True'
2021-09-19 09:57:24,997 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Validation Passed As This The First Heading | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | currHeadId :- '176001' | prevHeadingCurrId :- '' | prevHeadingFoundId :- ''
2021-09-19 09:57:25,033 : Heading Extraction Abacavir Accord film-coated tablet SmPC.json_E : Match Passed | H | NAP |  sv | 0 | Abacavir Accord film-coated tablet SmPC.json | Doc txt :- '1. LÄKEMEDLETS NAMN' | Qrd txt :- '1. LÄKEMEDLETS NAMN' | Matched :- 'True'
