2021-05-04 02:36:46,283 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Starting Heading Extraction | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json
2021-05-04 02:44:00,078 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Starting Heading Extraction | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json
2021-05-04 02:44:00,437 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Started Extracting Heading | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json
2021-05-04 02:44:00,679 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'SUMMARY OF PRODUCT CHARACTERISTICS' | Qrd txt :- 'SUMMARY OF PRODUCT CHARACTERISTICS' | Matched :- 'True'
2021-05-04 02:44:00,685 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed As This The First Heading | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20001' | currParentHeadId :- 'nan' | prevParentHeadId :- ''
2021-05-04 02:44:00,722 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- '1.       NAME OF THE MEDICINAL PRODUCT' | Qrd txt :- '1. NAME OF THE MEDICINAL PRODUCT' | Matched :- 'True'
2021-05-04 02:44:00,731 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Flow Is Broken | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20003' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20001'
2021-05-04 02:44:00,735 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20003' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20001'
2021-05-04 02:44:01,231 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- '2.       QUALITATIVE AND QUANTITATIVE COMPOSITION' | Qrd txt :- '2. QUALITATIVE AND QUANTITATIVE COMPOSITION' | Matched :- 'True'
2021-05-04 02:44:01,240 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20004' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20003'
2021-05-04 02:44:01,576 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Failed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Each film‑coated tablet contains 150 mg of ivacaftor.' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 02:44:01,681 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Match Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | Doc txt :- 'Excipient with known effect' | Qrd txt :- 'Excipient(s) with known effect' | Matched :- 'True'
2021-05-04 02:44:01,692 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Flow Is Broken | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20007' | currParentHeadId :- '20006.0' | prevParentHeadId :- '20004'
2021-05-04 02:44:01,702 : Heading Extraction Kalydeco II-86-PI-clean_SmPC.json : Validation Passed | CAP |  en | 0 | Kalydeco II-86-PI-clean_SmPC.json | currHeadId :- '20007' | currParentHeadId :- '20006.0' | prevParentHeadId :- '20004'
