StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.4246 Min,12.292429 MB,21.563366 MB,67.6%
Split Json,0.0189 Min,0.901786 MB,18.543089 MB,67.6%
0: Heading Extraction,1.8305 Min,2.938832 MB,6.83055 MB,67.7%
0: Document Annotation,0.0219 Min,0.044344 MB,0.076826 MB,67.7%
0: Content Extraction,0.0024 Min,0.586158 MB,6.843068 MB,67.7%
0: Generate XML,0.01 Min,3.10253 MB,4.992574 MB,67.7%
0: Submit FHIR Msg,0.0529 Min,0.118881 MB,1.521431 MB,67.7%
1: Heading Extraction,0.0695 Min,0.325313 MB,2.82836 MB,67.2%
1: Document Annotation,0.0003 Min,0.041309 MB,0.041947 MB,67.2%
1: Content Extraction,0.0008 Min,0.083803 MB,0.254105 MB,67.2%
1: Generate XML,0.0024 Min,0.326862 MB,0.993518 MB,67.2%
1: Submit FHIR Msg,0.038 Min,0.051706 MB,0.433766 MB,67.2%
2: Heading Extraction,2.6662 Min,1.64351 MB,3.871241 MB,67.0%
2: Document Annotation,0.0004 Min,0.030854 MB,0.100619 MB,67.0%
2: Content Extraction,0.0273 Min,0.503226 MB,3.181254 MB,67.0%
2: Generate XML,0.0142 Min,2.775968 MB,4.931895 MB,67.0%
2: Submit FHIR Msg,0.0549 Min,0.066778 MB,1.47706 MB,67.0%
3: Heading Extraction,9.3405 Min,1.53237 MB,3.967439 MB,67.0%
3: Document Annotation,0.0003 Min,0.017508 MB,0.025432 MB,66.9%
3: Content Extraction,0.0035 Min,1.221345 MB,3.501527 MB,67.0%
3: Generate XML,0.0193 Min,4.893641 MB,8.983811 MB,67.0%
3: Submit FHIR Msg,0.1099 Min,0.068405 MB,2.837533 MB,67.0%
3: Completed,0.0 Min,0.005921 MB,0.006581 MB,67.0%
Final Metrics,14.7088 Min,0.0 MB,21.563366 MB,67.7%
