StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,1.2996 Min,7.831883 MB,21.038788 MB,46.8%
Split Json,0.0441 Min,0.303627 MB,28.957861 MB,46.8%
0: Heading Extraction,4.3268 Min,4.767657 MB,10.325555 MB,47.4%
0: Document Annotation,0.0205 Min,0.042335 MB,0.075036 MB,47.4%
0: Content Extraction,0.0077 Min,0.989739 MB,10.336454 MB,47.4%
0: Generate XML,0.0338 Min,2.921162 MB,8.236136 MB,47.5%
0: Submit FHIR Msg,0.0628 Min,0.075886 MB,3.425439 MB,47.4%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.3308 Min,8.363479 MB,21.588579 MB,47.8%
Split Json,0.0218 Min,0.6036 MB,29.249551 MB,47.8%
0: Heading Extraction,1.9189 Min,5.08183 MB,10.3256 MB,47.9%
0: Document Annotation,0.0294 Min,0.056239 MB,0.119696 MB,47.9%
0: Content Extraction,0.0025 Min,0.98942 MB,10.334736 MB,47.9%
0: Generate XML,0.013 Min,2.955355 MB,8.273618 MB,47.9%
0: Submit FHIR Msg,0.0667 Min,0.072687 MB,3.416254 MB,47.9%
0: Update/Add List Bundle,0.1641 Min,0.186878 MB,0.253677 MB,48.1%
1: Heading Extraction,0.1418 Min,0.275411 MB,2.88079 MB,48.1%
1: Document Annotation,0.0004 Min,0.015129 MB,0.020752 MB,48.1%
1: Content Extraction,0.0014 Min,0.078933 MB,0.260455 MB,48.1%
1: Generate XML,0.0037 Min,0.277329 MB,0.496255 MB,48.1%
1: Submit FHIR Msg,0.0212 Min,0.05359 MB,0.176915 MB,48.1%
1: Update/Add List Bundle,0.1606 Min,0.148424 MB,0.595581 MB,48.2%
2: Heading Extraction,3.7891 Min,1.464184 MB,3.704148 MB,48.7%
2: Document Annotation,0.0004 Min,0.027607 MB,0.085497 MB,48.7%
2: Content Extraction,0.0358 Min,0.437686 MB,2.714852 MB,48.7%
2: Generate XML,0.0183 Min,2.328265 MB,3.946814 MB,48.7%
2: Submit FHIR Msg,0.0483 Min,0.068527 MB,1.129456 MB,48.7%
2: Update/Add List Bundle,0.1466 Min,0.145682 MB,0.446977 MB,48.6%
3: Heading Extraction,2.0168 Min,1.005355 MB,3.650628 MB,48.1%
3: Document Annotation,0.0005 Min,0.01513 MB,0.025149 MB,48.1%
3: Content Extraction,0.0025 Min,0.824087 MB,2.524457 MB,48.1%
3: Generate XML,0.008 Min,1.454126 MB,6.789313 MB,48.1%
3: Submit FHIR Msg,0.0624 Min,0.069085 MB,3.154217 MB,48.2%
3: Update/Add List Bundle,0.1767 Min,0.126449 MB,0.221804 MB,48.6%
3: Completed,0.0001 Min,0.004534 MB,0.005184 MB,48.6%
Final Metrics,9.1815 Min,0.0 MB,29.249551 MB,48.7%
