,id,domain,Procedure type,Document type,Language code,Display code,Name,parent_id,Mandatory,heading_id
0,1,V,CAP,SmPC,en,,SUMMARY OF PRODUCT CHARACTERISTICS,,True,1
1,2,V,CAP,SmPC,en,1,NAME OF THE VETERINARY MEDICINAL PRODUCT,1.0,True,2
2,3,V,CAP,SmPC,en,2,QUALITATIVE AND QUANTITATIVE COMPOSITION,1.0,True,3
3,4,V,CAP,SmPC,en,,Active substance<s>:,3.0,True,4
4,5,V,CAP,SmPC,en,,Adjuvant<s>:,3.0,False,5
5,6,V,CAP,SmPC,en,,Excipient<s>:,3.0,False,6
6,7,V,CAP,SmPC,en,3,PHARMACEUTICAL FORM,1.0,True,7
7,8,V,CAP,SmPC,en,4,CLINICAL PARTICULARS,1.0,True,8
8,9,V,CAP,SmPC,en,4.1,Target species,8.0,True,9
9,10,V,CAP,SmPC,en,4.2,"Indications for use, specifying the target species",8.0,True,10
10,11,V,CAP,SmPC,en,4.3,Contraindications,8.0,True,11
11,12,V,CAP,SmPC,en,4.4,Special warnings for each target species,8.0,True,12
12,13,V,CAP,SmPC,en,4.5,Special precautions for use,8.0,True,13
13,14,V,CAP,SmPC,en,,Special precautions for use in animals,13.0,True,14
14,15,V,CAP,SmPC,en,,Special precautions to be taken by the person administering the veterinary medicinal product to animals ,13.0,True,15
15,16,V,CAP,SmPC,en,4.6,Adverse reactions (frequency and seriousness),8.0,True,16
16,17,V,CAP,SmPC,en,4.7,"Use during pregnancy, lactation or lay",8.0,True,17
17,18,V,CAP,SmPC,en,,Pregnancy: <and lactation:>,17.0,False,18
18,19,V,CAP,SmPC,en,,Lactation,17.0,False,19
19,20,V,CAP,SmPC,en,,Laying birds:,17.0,False,20
20,21,V,CAP,SmPC,en,,Fertility,17.0,False,21
21,22,V,CAP,SmPC,en,4.8,Interaction with other medicinal products and other forms of interaction,8.0,True,22
22,23,V,CAP,SmPC,en,4.9,Amounts to be administered and administration route,8.0,True,23
23,24,V,CAP,SmPC,en,4.10,"Overdose (symptoms, emergency procedures, antidotes), if necessary",8.0,True,24
24,25,V,CAP,SmPC,en,4.11,Withdrawal period(s),8.0,True,25
25,26,V,CAP,SmPC,en,5,<PHARMACOLOGICAL><IMMUNOLOGICAL> PROPERTIES,1.0,True,26
26,27,V,CAP,SmPC,en,5.1,Pharmacodynamic properties,26.0,False,27
27,28,V,CAP,SmPC,en,5.2,Pharmacokinetic particulars,26.0,False,28
28,29,V,CAP,SmPC,en,,Environmental properties,26.0,False,29
29,30,V,CAP,SmPC,en,6,PHARMACEUTICAL PARTICULARS,1.0,True,30
30,31,V,CAP,SmPC,en,6.1,List of excipients,30.0,True,31
31,32,V,CAP,SmPC,en,6.2,Major incompatibilities,30.0,True,32
32,33,V,CAP,SmPC,en,6.3,Shelf life,30.0,True,33
33,34,V,CAP,SmPC,en,6.4,Special precautions for storage,30.0,True,34
34,35,V,CAP,SmPC,en,6.5,Nature and composition of immediate packaging,30.0,True,35
35,36,V,CAP,SmPC,en,6.6,Special precautions for the disposal of unused veterinary medicinal product or waste materials derived from the use of such products,30.0,True,36
36,37,V,CAP,SmPC,en,7,MARKETING AUTHORISATION HOLDER,1.0,True,37
37,38,V,CAP,SmPC,en,8,MARKETING AUTHORISATION NUMBER(S),1.0,True,38
38,39,V,CAP,SmPC,en,9,DATE OF FIRST AUTHORISATION/RENEWAL OF THE AUTHORISATION,1.0,True,39
