2021-05-04 15:57:33,072 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Starting Heading Extraction | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json
2021-05-04 15:57:33,242 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Started Extracting Heading | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json
2021-05-04 15:57:33,367 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'SUMMARY OF PRODUCT CHARACTERISTICS' | Qrd txt :- 'SUMMARY OF PRODUCT CHARACTERISTICS' | Matched :- 'True'
2021-05-04 15:57:33,375 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed As This The First Heading | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20001' | currParentHeadId :- 'nan' | prevParentHeadId :- ''
2021-05-04 15:57:33,399 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '1.       NAME OF THE MEDICINAL PRODUCT' | Qrd txt :- '1. NAME OF THE MEDICINAL PRODUCT' | Matched :- 'True'
2021-05-04 15:57:33,407 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Flow Is Broken | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20003' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20001'
2021-05-04 15:57:33,407 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20003' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20001'
2021-05-04 15:57:33,578 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '2.       QUALITATIVE AND QUANTITATIVE COMPOSITION' | Qrd txt :- '2. QUALITATIVE AND QUANTITATIVE COMPOSITION' | Matched :- 'True'
2021-05-04 15:57:33,586 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20004' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20003'
2021-05-04 15:57:33,914 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Each cartridge contains 3 mL of solution for injection, equivalent to 300 units. ' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:34,253 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '3.       PHARMACEUTICAL FORM' | Qrd txt :- '3. PHARMACEUTICAL FORM' | Matched :- 'True'
2021-05-04 15:57:34,261 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Flow Is Broken | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20008' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20004'
2021-05-04 15:57:34,261 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20008' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20004'
2021-05-04 15:57:34,565 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '4.       CLINICAL PARTICULARS' | Qrd txt :- '4. CLINICAL PARTICULARS' | Matched :- 'True'
2021-05-04 15:57:34,573 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20009' | currParentHeadId :- '20001.0' | prevParentHeadId :- '20008'
2021-05-04 15:57:34,626 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '4.1     Therapeutic indications' | Qrd txt :- '4.1 Therapeutic indications' | Matched :- 'True'
2021-05-04 15:57:34,634 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20010' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20009'
2021-05-04 15:57:34,714 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.' | Qrd txt :- '6.5 Nature and contents of container <and special equipment for use administration or implantation>' | Matched :- 'False'
2021-05-04 15:57:34,738 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.' | Qrd txt :- '6.6 Special precautions for disposal <and other handling>' | Matched :- 'False'
2021-05-04 15:57:34,810 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- '4.2     Posology and method of administration' | Qrd txt :- '4.2 Posology and method of administration' | Matched :- 'True'
2021-05-04 15:57:34,818 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Validation Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | currHeadId :- '20011' | currParentHeadId :- '20009.0' | prevParentHeadId :- '20010'
2021-05-04 15:57:34,842 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Failed In Lowercase | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Posology' | Qrd txt :- '4.2 Posology and method of administration' | Matched :- 'False'
2021-05-04 15:57:34,842 : Heading Extraction Abasaglar-h-2835-en_SmPC.json : Match Passed | CAP |  en | 0 | Abasaglar-h-2835-en_SmPC.json | Doc txt :- 'Posology' | Qrd txt :- 'Posology' | Matched :- 'True'
