StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.1328 Min,12.056966 MB,20.389168 MB,66.3%
Split Json,0.0123 Min,0.154051 MB,17.279588 MB,66.3%
0: Heading Extraction,1.5806 Min,3.68597 MB,7.073181 MB,66.1%
0: Document Annotation,0.0191 Min,0.181587 MB,0.217036 MB,66.1%
0: Content Extraction,0.0023 Min,1.193596 MB,7.088399 MB,66.1%
0: Generate XML,0.0098 Min,7.133252 MB,10.893013 MB,66.0%
0: Submit FHIR Msg,0.0934 Min,0.240812 MB,3.373031 MB,66.0%
1: Heading Extraction,0.0455 Min,0.658542 MB,2.857535 MB,66.0%
1: Document Annotation,0.0002 Min,0.161719 MB,0.164272 MB,66.0%
1: Content Extraction,0.0005 Min,0.231208 MB,0.399486 MB,66.0%
1: Generate XML,0.0011 Min,0.544899 MB,1.111275 MB,66.0%
1: Submit FHIR Msg,0.0315 Min,0.255857 MB,0.687396 MB,66.1%
2: Heading Extraction,1.0453 Min,2.183945 MB,3.856857 MB,65.9%
2: Document Annotation,0.0001 Min,0.175506 MB,0.177811 MB,65.9%
2: Content Extraction,0.0129 Min,0.622184 MB,3.099566 MB,65.9%
2: Generate XML,0.0039 Min,2.483918 MB,4.624969 MB,66.0%
2: Submit FHIR Msg,0.0429 Min,0.069677 MB,1.399503 MB,66.1%
3: Heading Extraction,1.9655 Min,0.893655 MB,3.277257 MB,65.8%
3: Document Annotation,0.0002 Min,0.017594 MB,0.179598 MB,65.8%
3: Content Extraction,0.0011 Min,0.284875 MB,1.321551 MB,65.8%
3: Generate XML,0.0037 Min,2.045585 MB,3.681445 MB,65.8%
3: Submit FHIR Msg,0.0376 Min,0.205618 MB,1.275539 MB,66.7%
3: Completed,0.0 Min,0.150285 MB,0.152681 MB,66.7%
Final Metrics,5.0425 Min,0.0 MB,20.389168 MB,66.7%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.3446 Min,12.270244 MB,20.576335 MB,52.2%
Split Json,0.0262 Min,0.386643 MB,18.465694 MB,52.2%
1: Heading Extraction,0.1277 Min,0.496849 MB,2.984011 MB,52.2%
1: Document Annotation,0.0005 Min,0.164061 MB,0.174386 MB,52.2%
1: Content Extraction,0.0013 Min,0.089857 MB,0.423069 MB,52.2%
1: Generate XML,0.0047 Min,0.669785 MB,1.231934 MB,52.2%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.3427 Min,12.341564 MB,20.647854 MB,49.3%
Split Json,0.0264 Min,0.090299 MB,18.353875 MB,49.2%
1: Heading Extraction,0.1253 Min,0.394179 MB,2.97056 MB,49.2%
1: Document Annotation,0.0004 Min,0.007727 MB,0.16503 MB,49.2%
1: Content Extraction,0.0009 Min,0.08015 MB,0.412675 MB,49.2%
1: Generate XML,0.0033 Min,0.543258 MB,1.105407 MB,49.2%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.349 Min,19.591699 MB,27.898397 MB,49.9%
Split Json,0.0242 Min,0.137955 MB,18.250679 MB,49.8%
1: Heading Extraction,0.134 Min,0.236124 MB,2.97192 MB,50.2%
1: Document Annotation,0.0003 Min,0.007459 MB,0.164858 MB,50.2%
1: Content Extraction,0.0011 Min,0.076706 MB,0.410876 MB,50.2%
1: Generate XML,0.0042 Min,0.542602 MB,1.104751 MB,49.9%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.3448 Min,12.116493 MB,20.422855 MB,49.7%
Split Json,0.0251 Min,0.233521 MB,18.354959 MB,49.7%
1: Heading Extraction,0.1345 Min,0.390591 MB,2.97462 MB,49.6%
1: Document Annotation,0.0004 Min,0.153846 MB,0.164922 MB,49.6%
1: Content Extraction,0.001 Min,0.079875 MB,0.412543 MB,49.6%
1: Generate XML,0.0041 Min,0.549056 MB,1.111205 MB,49.6%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.344 Min,11.900736 MB,20.353337 MB,46.3%
Split Json,0.0356 Min,0.261205 MB,18.355054 MB,46.3%
1: Heading Extraction,0.1762 Min,0.409944 MB,2.973072 MB,46.3%
1: Document Annotation,0.0003 Min,0.15319 MB,0.16449 MB,46.3%
1: Content Extraction,0.0008 Min,0.216097 MB,0.404407 MB,46.3%
1: Generate XML,0.004 Min,0.54605 MB,1.108199 MB,46.3%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.3696 Min,12.133843 MB,20.586068 MB,47.4%
Split Json,0.0275 Min,0.248169 MB,18.219358 MB,47.4%
1: Heading Extraction,0.1133 Min,0.28268 MB,2.973708 MB,47.3%
1: Document Annotation,0.0002 Min,0.006747 MB,0.164146 MB,47.3%
1: Content Extraction,0.0007 Min,0.223167 MB,0.412057 MB,47.3%
1: Generate XML,0.0026 Min,0.574996 MB,1.137145 MB,47.3%
1: Submit FHIR Msg,0.0549 Min,0.330847 MB,0.769021 MB,47.3%
