StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.4032 Min,13.787484 MB,22.953274 MB,49.4%
Split Json,0.0334 Min,0.241882 MB,15.808736 MB,49.4%
0: Heading Extraction,16.525 Min,3.915148 MB,7.515788 MB,46.7%
0: Document Annotation,0.0008 Min,0.178497 MB,0.222648 MB,46.7%
0: Content Extraction,0.0193 Min,1.052976 MB,7.558246 MB,46.7%
0: Generate XML,0.0522 Min,6.067635 MB,8.972152 MB,46.8%
0: Submit FHIR Msg,0.0591 Min,0.210369 MB,2.355169 MB,46.7%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.2879 Min,14.436321 MB,23.456169 MB,49.9%
Split Json,0.023 Min,0.256171 MB,15.689403 MB,49.7%
1: Heading Extraction,0.1156 Min,0.229637 MB,2.983327 MB,49.9%
1: Document Annotation,0.0003 Min,0.009876 MB,0.158723 MB,49.9%
1: Content Extraction,0.0012 Min,0.080346 MB,0.449529 MB,49.8%
1: Generate XML,0.0026 Min,0.436214 MB,0.704821 MB,49.8%
1: Submit FHIR Msg,0.0204 Min,0.188014 MB,0.328595 MB,49.8%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.4466 Min,13.436591 MB,22.602791 MB,48.9%
Split Json,0.035 Min,0.094888 MB,15.844633 MB,48.9%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.3005 Min,17.948373 MB,26.968645 MB,49.2%
Split Json,0.0199 Min,0.253703 MB,15.839438 MB,49.1%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.4707 Min,14.964119 MB,24.130223 MB,49.3%
Split Json,0.022 Min,0.260174 MB,15.694182 MB,49.2%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.2824 Min,15.278867 MB,24.444891 MB,49.4%
Split Json,0.0183 Min,0.256004 MB,15.689258 MB,49.3%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.2877 Min,30.46096 MB,39.480808 MB,49.0%
Split Json,0.0201 Min,0.263031 MB,15.696613 MB,48.9%
2: Heading Extraction,1.0147 Min,1.233794 MB,3.460854 MB,48.9%
2: Document Annotation,0.0003 Min,0.165177 MB,0.208309 MB,48.9%
2: Content Extraction,0.0105 Min,0.301354 MB,1.852419 MB,48.9%
2: Generate XML,0.0052 Min,1.660152 MB,2.622592 MB,48.9%
