2021-06-07 23:47:34,445 : Flow Logger HTML_f : Starting HTML Conversion To Json | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-07 23:47:34,450 : Style Dictionary_c : Reading style dictionary in file: rule_dictionary_de.json | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-07 23:47:34,490 : Style Dictionary_c : Qrd Section Keys Retrieved For Style Dictionary: ANHANG I, ANHANG II, ANHANG III, B. PACKUNGSBEILAGE | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-07 23:47:35,085 : Parser_S : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\de\2021-06-07T08-05-21Z\outputJSON\Ovaleap_clean.txt | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:56,085 : Flow Logger HTML_e : Starting HTML Conversion To Json | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:56,093 : Style Dictionary_V : Reading style dictionary in file: rule_dictionary_de.json | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:56,129 : Style Dictionary_V : Qrd Section Keys Retrieved For Style Dictionary: ANHANG I, ANHANG II, ANHANG III, B. PACKUNGSBEILAGE | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:56,548 : Parser_J : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\de\2021-06-07T08-05-21Z\outputJSON\Ovaleap_clean.txt | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:59,118 : Parser_J : Writing to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\de\2021-06-07T08-05-21Z\outputJSON\Ovaleap_clean.json | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:59,284 : Flow Logger HTML_e : Completed HTML Conversion To Json | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:59,284 : Flow Logger HTML_e : HTML Conversion To Json,0.0533 Min,4.005619 MB,6.741743 MB,51.9%
 | H | CAP |  de | HTML | Ovaleap_clean.htm
2021-06-08 01:42:59,292 : Flow Logger HTML_e : Starting Json Split | H | CAP |  de | HTML | Ovaleap_clean.htm
