StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.0665 Min,5.550037 MB,10.13895 MB,66.4%
Split Json,0.0057 Min,0.452009 MB,8.733447 MB,66.4%
0: Heading Extraction,0.787 Min,2.801744 MB,4.284919 MB,66.5%
0: Document Annotation,0.0264 Min,0.17923 MB,0.217825 MB,66.5%
0: Content Extraction,0.001 Min,0.677739 MB,4.068239 MB,66.5%
0: Generate XML,0.0035 Min,2.796413 MB,5.351286 MB,66.6%
0: Submit FHIR Msg,0.102 Min,0.222934 MB,2.152885 MB,66.5%
1: Heading Extraction,0.1721 Min,0.587439 MB,2.95174 MB,66.3%
1: Document Annotation,0.0001 Min,0.017176 MB,0.165624 MB,66.3%
1: Content Extraction,0.0005 Min,0.163535 MB,0.59007 MB,66.3%
1: Generate XML,0.0017 Min,0.874722 MB,1.947809 MB,66.3%
1: Submit FHIR Msg,0.0365 Min,0.061356 MB,0.781 MB,66.3%
2: Heading Extraction,0.2555 Min,1.459242 MB,3.036471 MB,66.0%
2: Document Annotation,0.0002 Min,0.166697 MB,0.178517 MB,66.0%
2: Content Extraction,0.0029 Min,0.544573 MB,1.177981 MB,66.0%
2: Generate XML,0.0019 Min,0.929079 MB,1.879341 MB,66.0%
2: Submit FHIR Msg,0.0309 Min,0.065868 MB,0.224854 MB,66.1%
3: Heading Extraction,1.6099 Min,1.08169 MB,3.157027 MB,66.5%
3: Document Annotation,0.0002 Min,0.161992 MB,0.171669 MB,66.5%
3: Content Extraction,0.001 Min,0.380609 MB,1.062733 MB,66.5%
3: Generate XML,0.0033 Min,1.693886 MB,3.088085 MB,66.5%
3: Submit FHIR Msg,0.0836 Min,0.221378 MB,1.073556 MB,66.8%
3: Completed,0.0 Min,0.150221 MB,0.152617 MB,66.8%
Final Metrics,3.1923 Min,0.0 MB,10.13895 MB,66.8%
