StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.095 Min,5.756122 MB,10.365379 MB,46.2%
Split Json,0.0071 Min,0.247737 MB,9.314485 MB,46.2%
0: Heading Extraction,0.8646 Min,2.273446 MB,4.556586 MB,46.0%
0: Document Annotation,0.0197 Min,0.17584 MB,0.20779 MB,46.0%
0: Content Extraction,0.0013 Min,0.835229 MB,4.081295 MB,46.0%
0: Generate XML,0.0047 Min,2.881496 MB,5.432265 MB,46.0%
0: Submit FHIR Msg,0.0654 Min,0.203116 MB,2.13196 MB,46.0%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.0958 Min,5.714107 MB,10.324091 MB,46.1%
Split Json,0.0074 Min,0.245283 MB,9.338903 MB,46.1%
0: Heading Extraction,0.9029 Min,2.056158 MB,4.543515 MB,46.2%
0: Document Annotation,0.039 Min,0.021789 MB,0.22164 MB,46.2%
0: Content Extraction,0.001 Min,0.820644 MB,4.072103 MB,46.2%
0: Generate XML,0.0043 Min,2.77388 MB,5.324817 MB,46.2%
0: Submit FHIR Msg,0.0976 Min,0.247916 MB,2.184874 MB,46.2%
0: Update/Add List Bundle,0.0271 Min,0.199121 MB,0.230753 MB,46.2%
1: Heading Extraction,0.3019 Min,0.396808 MB,3.056491 MB,46.9%
1: Document Annotation,0.0002 Min,0.155261 MB,0.163772 MB,46.9%
1: Content Extraction,0.0007 Min,0.156382 MB,0.620275 MB,46.9%
1: Generate XML,0.0025 Min,0.845231 MB,1.916363 MB,46.9%
1: Submit FHIR Msg,0.0352 Min,0.183258 MB,0.747335 MB,46.9%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.0925 Min,5.595284 MB,10.351162 MB,46.4%
Split Json,0.0063 Min,0.268234 MB,9.190005 MB,46.3%
0: Heading Extraction,0.8943 Min,1.96738 MB,4.455398 MB,46.3%
0: Document Annotation,0.022 Min,0.174632 MB,0.234722 MB,46.3%
0: Content Extraction,0.0012 Min,0.823337 MB,4.071119 MB,46.3%
0: Generate XML,0.0059 Min,2.77759 MB,5.328527 MB,46.4%
0: Submit FHIR Msg,0.0432 Min,0.194982 MB,1.977173 MB,46.3%
0: Update/Add List Bundle,0.0318 Min,0.20732 MB,0.236187 MB,46.3%
1: Heading Extraction,0.2773 Min,0.433515 MB,3.059174 MB,46.3%
1: Document Annotation,0.0002 Min,0.009089 MB,0.157444 MB,46.3%
1: Content Extraction,0.0008 Min,0.158159 MB,0.621907 MB,46.3%
1: Generate XML,0.0026 Min,0.86028 MB,1.926652 MB,46.3%
1: Submit FHIR Msg,0.0317 Min,0.044376 MB,0.810019 MB,46.3%
1: Update/Add List Bundle,0.0529 Min,0.058954 MB,0.236469 MB,46.4%
2: Heading Extraction,0.4406 Min,0.693677 MB,3.003741 MB,46.4%
2: Document Annotation,0.0002 Min,0.010154 MB,0.172473 MB,46.4%
2: Content Extraction,0.0029 Min,0.322173 MB,0.971869 MB,46.4%
2: Generate XML,0.0029 Min,0.973587 MB,1.925099 MB,46.4%
2: Submit FHIR Msg,0.0487 Min,0.28596 MB,0.300201 MB,46.4%
2: Update/Add List Bundle,0.0394 Min,0.076873 MB,0.498972 MB,46.4%
3: Heading Extraction,1.9379 Min,0.512327 MB,3.257438 MB,46.3%
3: Document Annotation,0.0002 Min,0.155099 MB,0.157004 MB,46.3%
3: Content Extraction,0.0011 Min,0.252272 MB,1.091897 MB,46.3%
3: Generate XML,0.0037 Min,1.564483 MB,2.917957 MB,46.3%
