StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.4738 Min,13.302531 MB,49.470411 MB,50.4%
Split Json,0.0502 Min,0.433464 MB,62.674322 MB,50.4%
0: Heading Extraction,5.5339 Min,10.657728 MB,26.196879 MB,46.5%
0: Document Annotation,0.0188 Min,0.171262 MB,0.314288 MB,46.5%
0: Content Extraction,0.005 Min,0.687933 MB,26.222009 MB,46.5%
0: Generate XML,0.0098 Min,2.754257 MB,4.167844 MB,46.5%
0: Submit FHIR Msg,0.0453 Min,0.052251 MB,1.12326 MB,46.5%
0: Update/Add List Bundle,0.1956 Min,0.334894 MB,0.408557 MB,46.6%
1: Heading Extraction,0.1611 Min,0.304059 MB,2.980123 MB,46.5%
1: Document Annotation,0.0004 Min,0.007296 MB,0.157196 MB,46.5%
1: Content Extraction,0.0011 Min,0.086414 MB,0.441272 MB,46.5%
1: Generate XML,0.0024 Min,0.420201 MB,0.658555 MB,46.5%
1: Submit FHIR Msg,0.0225 Min,0.186038 MB,0.320574 MB,46.5%
1: Update/Add List Bundle,0.1613 Min,0.147055 MB,0.890526 MB,46.5%
2: Heading Extraction,2.6755 Min,1.51841 MB,3.809836 MB,47.0%
2: Document Annotation,0.0176 Min,0.158025 MB,0.227396 MB,47.0%
2: Content Extraction,0.0223 Min,0.581205 MB,2.724919 MB,47.0%
2: Generate XML,0.0098 Min,2.318384 MB,4.244882 MB,47.0%
2: Submit FHIR Msg,0.0479 Min,0.052294 MB,1.307857 MB,47.0%
2: Update/Add List Bundle,0.3215 Min,0.320983 MB,0.531262 MB,47.0%
3: Heading Extraction,20.4803 Min,5.300846 MB,11.793447 MB,48.9%
3: Document Annotation,0.0004 Min,0.156042 MB,0.175222 MB,48.9%
3: Content Extraction,0.0124 Min,8.944276 MB,23.32807 MB,49.1%
3: Generate XML,0.0204 Min,7.552473 MB,38.813669 MB,49.1%
3: Submit FHIR Msg,0.1543 Min,0.327257 MB,0.338788 MB,48.8%
3: Update/Add List Bundle,0.3102 Min,0.325238 MB,0.491138 MB,48.9%
3: Completed,0.0 Min,0.150051 MB,0.152393 MB,48.9%
Final Metrics,30.7539 Min,0.0 MB,62.674322 MB,50.4%
StepName,Time,Current Memory,Peak Memory,Used Ram Percentage
HTML Conversion To Json,0.1715 Min,12.931828 MB,48.909431 MB,55.5%
Split Json,0.0184 Min,0.282578 MB,62.715329 MB,55.5%
0: Heading Extraction,2.4069 Min,10.553276 MB,26.193984 MB,55.6%
0: Document Annotation,0.0262 Min,0.15858 MB,0.192629 MB,55.6%
0: Content Extraction,0.0029 Min,0.526463 MB,26.208923 MB,55.5%
0: Generate XML,0.0055 Min,2.625851 MB,4.040064 MB,55.6%
0: Submit FHIR Msg,0.0514 Min,0.197012 MB,1.124375 MB,55.6%
0: Update/Add List Bundle,0.197 Min,0.202519 MB,0.444787 MB,55.5%
1: Heading Extraction,0.0675 Min,0.252902 MB,2.988506 MB,55.5%
1: Document Annotation,0.0001 Min,0.15355 MB,0.156018 MB,55.5%
1: Content Extraction,0.0004 Min,0.226484 MB,0.436367 MB,55.5%
1: Generate XML,0.0009 Min,0.413323 MB,0.651937 MB,55.5%
1: Submit FHIR Msg,0.0217 Min,0.185804 MB,0.322274 MB,55.5%
1: Update/Add List Bundle,0.1846 Min,0.152425 MB,0.90782 MB,55.5%
2: Heading Extraction,1.3285 Min,1.506698 MB,3.811521 MB,55.7%
2: Document Annotation,0.0228 Min,0.158531 MB,0.227538 MB,55.7%
2: Content Extraction,0.0118 Min,0.574304 MB,2.719093 MB,55.7%
2: Generate XML,0.0073 Min,2.362993 MB,4.289669 MB,55.7%
2: Submit FHIR Msg,0.0546 Min,0.071006 MB,1.472621 MB,55.7%
2: Update/Add List Bundle,0.3831 Min,0.321048 MB,0.482114 MB,54.2%
3: Heading Extraction,7.6368 Min,5.477004 MB,11.790666 MB,51.6%
3: Document Annotation,0.0002 Min,0.15376 MB,0.156074 MB,51.6%
3: Content Extraction,0.0054 Min,9.120065 MB,23.355109 MB,51.6%
3: Generate XML,0.0115 Min,7.58763 MB,38.849284 MB,51.6%
3: Submit FHIR Msg,0.1517 Min,0.068488 MB,0.224394 MB,51.6%
3: Update/Add List Bundle,0.3252 Min,0.329406 MB,0.480429 MB,52.1%
3: Completed,0.0 Min,0.149713 MB,0.151703 MB,52.1%
Final Metrics,13.0941 Min,0.0 MB,62.715329 MB,55.7%
