sectionIndex,Display code,Name,heading_id
0,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
0,1,NAME OF THE MEDICINAL PRODUCT,22
0,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
0,3,EXPIRY DATE,24
0,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
0,5,OTHER,26
1,13,BATCH NUMBER<, DONATION AND PRODUCT CODES>,15
1,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
1,1,NAME OF THE MEDICINAL PRODUCT,22
1,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
1,3,EXPIRY DATE,24
1,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
1,5,OTHER,26
2,13,BATCH NUMBER<, DONATION AND PRODUCT CODES>,15
2,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
2,1,NAME OF THE MEDICINAL PRODUCT,22
2,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
2,3,EXPIRY DATE,24
2,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
2,5,OTHER,26
3,13,BATCH NUMBER<, DONATION AND PRODUCT CODES>,15
3,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
3,1,NAME OF THE MEDICINAL PRODUCT,22
3,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
3,3,EXPIRY DATE,24
3,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
3,5,OTHER,26
4,13,BATCH NUMBER<, DONATION AND PRODUCT CODES>,15
4,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
4,1,NAME OF THE MEDICINAL PRODUCT,22
4,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
4,3,EXPIRY DATE,24
4,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
4,5,OTHER,26
5,13,BATCH NUMBER<, DONATION AND PRODUCT CODES>,15
5,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
5,1,NAME OF THE MEDICINAL PRODUCT,22
5,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
5,3,EXPIRY DATE,24
5,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
5,5,OTHER,26
sectionIndex,Display code,Name,heading_id
0,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
0,1,NAME OF THE MEDICINAL PRODUCT,22
0,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
0,3,EXPIRY DATE,24
0,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
0,5,OTHER,26
1,13,BATCH NUMBER<, DONATION AND PRODUCT CODES>,15
1,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
1,1,NAME OF THE MEDICINAL PRODUCT,22
1,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
1,3,EXPIRY DATE,24
1,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
1,5,OTHER,26
2,13,BATCH NUMBER<, DONATION AND PRODUCT CODES>,15
2,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
2,1,NAME OF THE MEDICINAL PRODUCT,22
2,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
2,3,EXPIRY DATE,24
2,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
2,5,OTHER,26
3,13,BATCH NUMBER<, DONATION AND PRODUCT CODES>,15
3,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
3,1,NAME OF THE MEDICINAL PRODUCT,22
3,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
3,3,EXPIRY DATE,24
3,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
3,5,OTHER,26
4,13,BATCH NUMBER<, DONATION AND PRODUCT CODES>,15
4,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
4,1,NAME OF THE MEDICINAL PRODUCT,22
4,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
4,3,EXPIRY DATE,24
4,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
4,5,OTHER,26
5,13,BATCH NUMBER<, DONATION AND PRODUCT CODES>,15
5,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
5,1,NAME OF THE MEDICINAL PRODUCT,22
5,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
5,3,EXPIRY DATE,24
5,4,BATCH NUMBER<, DONATION AND PRODUCT CODES>,25
5,5,OTHER,26
sectionIndex,Display code,Name,heading_id
0,nan,MINIMUM PARTICULARS TO APPEAR ON BLISTERS OR STRIPS,21
0,1,NAME OF THE MEDICINAL PRODUCT,22
0,2,NAME OF THE MARKETING AUTHORISATION HOLDER,23
0,3,EXPIRY DATE,24
